#Transit  t_c      1sigma_lower 1sigma_upper 
#Number     (days)     (days)         (days) 
0	73.2486014843	0.000691	0.000637 
1	146.749468487	0.000721	0.000657 
2	220.242349774	0.00106		0.000761 
3	293.731167555	0.000681	0.00066 
4	367.236122944	0.000765	0.000521 
5	440.742560354	0.000611	0.000636 
6	514.244522696	0.000808	0.000964 
7	587.740187014	0.000817	0.000556 
8	661.22596746	0.000676	0.000238 
9	734.727512055	0.000669	0.000667 
10	808.23541199	0.000822	0.000898 
11	881.740031029	0.000707	0.000672 
12	955.239265511	0.000532	0.000595 
